image,seed,method,psnr,ssim,brisque,entropy,time_ms
kodim05,1,GHE,16.589505448103704,0.5568579781134516,45.74274523347796,7.76848840713501,1.7027800000164461
kodim05,1,Gamma,16.5587405763075,0.5869648210121536,44.159964779211435,6.883116722106934,1.678774999959387
kodim05,1,CLAHE-only,18.081013221515335,0.6229622029112836,36.554847175400226,7.241693019866943,2.705874000014319
kodim05,1,SSR-only,15.283054102264657,0.5002941981043174,56.196864256391194,7.737311840057373,40.67795200001001
kodim05,1,Fixed-fusion,19.7042117910927,0.6143665848544907,48.149088458154296,7.51615047454834,42.770578999977715
kodim05,1,Proposed,19.897590665645744,0.6157768389153536,48.21732674181439,7.529639720916748,78.3433979999586
kodim05,2,Low-light(input),11.424973028514556,0.23130000374338144,9.960848091795896,5.606710433959961,0.0
kodim05,2,GHE,16.591591325938005,0.5561243031125814,44.110890440652355,7.769064903259277,1.7288270000221928
kodim05,2,Gamma,16.556948411971664,0.586310947684853,42.20888572704493,6.883978843688965,1.6926330000046619
kodim05,2,CLAHE-only,18.073684930878613,0.6223601121265007,35.427756137818136,7.240272521972656,2.711035000004358
kodim05,2,SSR-only,15.283949310018027,0.4998158700840323,54.188346372226164,7.737223148345947,41.13209700000198
kodim05,2,Fixed-fusion,19.70152836629683,0.6138130140348274,45.61414758497571,7.5153985023498535,41.39725699997143
kodim05,2,Proposed,19.897354626745273,0.615260454157697,45.55030832561985,7.529272556304932,81.0853570000063
kodim07,0,Low-light(input),9.762419435371338,0.28800336160431617,29.58313483010963,5.975313186645508,0.0
kodim07,0,GHE,17.10386676517588,0.4184149363103245,48.02368950274419,7.818689346313477,1.6850409999733529
kodim07,0,Gamma,15.411816812299328,0.487679203827933,43.23214398253546,6.789237976074219,1.7468430000349144
kodim07,0,CLAHE-only,15.483432033095763,0.45326741482093674,47.992187889457654,7.406984329223633,2.69157599996106
kodim07,0,SSR-only,16.23899518499509,0.39600297527672934,52.67763499788791,7.50655460357666,41.806741000016245
kodim07,0,Fixed-fusion,18.991234462125448,0.46786134558417797,49.78843684309683,7.494663238525391,43.012234000002536
